,,,,,,,,,,,,
,date,suit,rank,reversed,,,,,,,,
,5/4/2014,swords,7,f,,,,,,,,
,5/5/2014,cups,6,t,,,,,,,,
,5/6/2014,pentacles,7,t,,,,,,,,
,5/7/2014,swords,7,f,,,,,,,,
,5/8/2014,swords,7,f,,,,,,,,
,5/9/2014,cups,13,t,,,,,,,,
,5/10/2014,swords,8,f,,,,,,,,
,5/11/2014,swords,14,t,,,,,,,,
,5/12/2014,pentacles,12,f,,,,,,,,
,5/13/2014,swords,5,t,,,,,,,,
,5/14/2014,pentacles,9,t,,,,,,,,
,5/15/2014,cups,8,f,,,,,,,,
,5/16/2014,swords,11,t,,,,,,,,
,5/17/2014,wands,7,f,,,,,,,,
,5/18/2014,trumps,18,f,,,,,,,,
,5/19/2014,wands,6,f,,,,,,,,
,5/20/2014,trumps,20,f,,,,,,,,
,5/20/2014,swords,10,f,,,,,,,,
,5/21/2014,trumps,20,f,,,,,,,,
,5/22/2014,cups,5,t,,,,,,,,
,5/23/2014,trumps,18,f,,,,,,,,
,5/24/2014,pentacles,8,f,,,,,,,,
,5/26/2014,trumps,20,t,,,,,,,,
,5/27/2014,swords,2,f,,,,,,,,
,5/28/2014,swords,9,t,,,,,,,,
,5/29/2014,trumps,14,f,,,,,,,,
,5/30/2014,swords,4,f,,,,,,,,
,5/31,swords,4,t,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,