,,,,,,,,,
,date,suit,rank,reversed,,,,,
,11/3/2014,trumps,3,f,,,,,
,11/4/2014,trumps,6,t,,,,,
,11/5/2014,cups,12,f,,,,,
,11/6/2014,wands,6,t,,,,,
,11/10/2014,pentacles,14,t,,,,,
,11/14/2014,pentacles,1,t,,,,,
,11/17/2014,cups,14,f,,,,,
,11/18/2014,cups,2,f,,,,,
,11/20/2014,swords,14,t,,,,,
,11/21/2014,cups,9,t,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,